row_number,lang,favorited,truncated,text,created_at,retweeted,source,place,user,retweet_count,id,favorite_count,urls,user_mentions,hashtags,retweeted_status,in_reply_to_screen_name,in_reply_to_user_id,possibly_sensitive,in_reply_to_status_id
86,en,False,False,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/V8DiQnF9aG,Sat Feb 01 05:41:23 +0000 2014,False,http://dlvr.it,,"{""id"":555114117,""profile_sidebar_fill_color"":""EFEFEF"",""profile_text_color"":""333333"",""followers_count"":1325,""profile_background_color"":""131516"",""utc_offset"":28800,""statuses_count"":12975,""description"":""Senanymous | FVS27 | XA3 | Lisztomania | Dupstep Addict"",""friends_count"":168,""profile_link_color"":""009999"",""profile_image_url"":""https://pbs.twimg.com/profile_images/422733442925993984/yvlTjs4v_normal.jpeg"",""geo_enabled"":true,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/555114117/1385025154"",""profile_background_image_url"":""http://a0.twimg.com/profile_background_images/721944515/dee6843e2ad31deaba9b5623e31ae9a6.jpeg"",""name"":""Avissena"",""lang"":""id"",""profile_background_tile"":true,""favourites_count"":3,""screen_name"":""Senanymous404"",""url"":""http://t.co/UXoAQvm7la"",""created_at"":""Mon Apr 16 10:49:49 +0000 2012"",""time_zone"":""Beijing"",""protected"":false}",,429489638408220672,,"{""http://t.co/V8DiQnF9aG"":""http://dlvr.it/4qWfS2""}",,,,,,,
87,en,False,False,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/aCmS22XMt4,Sat Feb 01 05:41:23 +0000 2014,False,http://dlvr.it,,"{""id"":160930875,""profile_sidebar_fill_color"":""99CC33"",""profile_text_color"":""3E4415"",""followers_count"":7865,""location"":""Nairobi , Kenya"",""profile_background_color"":""352726"",""listed_count"":74,""utc_offset"":10800,""statuses_count"":744909,""description"":""Born again #Christian #Baptist #Conservative #ProLife #TeaParty #TeamJesus #tcot #Cessationist #Blogger #Marketer #Capitalist #Arsenal #Calvinist #Reformed"",""friends_count"":8297,""profile_link_color"":""D02B55"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1328056909/juan_normal.jpg"",""geo_enabled"":true,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/160930875/1380040985"",""profile_background_image_url"":""http://a0.twimg.com/profile_background_images/344918034409623793/dc616114d38b869240eae792af1c3f9e.jpeg"",""screen_name"":""juanmuriango"",""lang"":""en"",""profile_background_tile"":true,""favourites_count"":13241,""name"":""john muriango"",""url"":""http://t.co/dp7mEQEbsc"",""created_at"":""Tue Jun 29 14:08:24 +0000 2010"",""time_zone"":""Nairobi"",""protected"":false}",,429489636746878976,,"{""http://t.co/aCmS22XMt4"":""http://dlvr.it/4qWfRZ""}",,,,,,,
88,en,False,False,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/cuhrnmsmtn,Sat Feb 01 05:41:23 +0000 2014,False,http://dlvr.it,,"{""id"":438866699,""profile_sidebar_fill_color"":""F6FFD1"",""profile_text_color"":""333333"",""followers_count"":1056,""location"":""All Round The World"",""profile_background_color"":""FFF04D"",""listed_count"":4,""utc_offset"":25200,""statuses_count"":86538,""description"":""Be true to yourself. Fell free to dream. Fear not failur. This is the only real one!"",""friends_count"":519,""profile_link_color"":""0099CC"",""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000729762502/935e59eff84d28d61bcda85134dec7d5_normal.jpeg"",""geo_enabled"":true,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/438866699/1383131222"",""profile_background_image_url"":""http://abs.twimg.com/images/themes/theme19/bg.gif"",""screen_name"":""cavinhandoko"",""lang"":""en"",""profile_background_tile"":false,""favourites_count"":1982,""name"":""Cavin Handoko"",""url"":""https://t.co/fYgg9tGXAb"",""created_at"":""Sat Dec 17 03:28:55 +0000 2011"",""time_zone"":""Bangkok"",""protected"":false}",,429489636444884992,,"{""http://t.co/cuhrnmsmtn"":""http://dlvr.it/4qWfRF""}",,,,,,True,
89,en,False,False,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/lmetostVCT,Sat Feb 01 05:41:23 +0000 2014,False,http://dlvr.it,,"{""lang"":""es"",""profile_background_tile"":false,""statuses_count"":6837,""description"":""http://t.co/QfVqlSzZFY El portal de clasificados latino mas gran del Estado de California."",""friends_count"":1227,""url"":""http://t.co/QfVqlSzZFY"",""profile_sidebar_fill_color"":""DDEEF6"",""created_at"":""Wed Oct 16 13:39:08 +0000 2013"",""profile_link_color"":""0084B4"",""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000604928091/74a5ba7287ceb0861415332ca1876888_normal.jpeg"",""screen_name"":""BazarCalifornia"",""profile_text_color"":""333333"",""followers_count"":565,""protected"":false,""location"":""California, Estados Unidos"",""profile_background_color"":""C0DEED"",""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1964807762/1381931094"",""id"":1964807762,""profile_background_image_url"":""http://abs.twimg.com/images/themes/theme1/bg.png"",""name"":""Bazar California""}",,429489636423897090,,"{""http://t.co/lmetostVCT"":""http://dlvr.it/4qWfQl""}",,,,,,,
90,en,False,False,McLean High School student’s heroin overdose shows disturbing trend facing police http://t.co/dSIiQNTVwz,Sat Feb 01 05:41:23 +0000 2014,False,http://dlvr.it,,"{""lang"":""en"",""profile_background_tile"":false,""statuses_count"":79361,""name"":""-"",""friends_count"":1,""profile_sidebar_fill_color"":""FFF7CC"",""created_at"":""Sun Nov 11 07:15:46 +0000 2012"",""profile_link_color"":""FF0000"",""time_zone"":""Bangkok"",""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000272881832/5b8f0cfac4c883176b1828a7f1faab45_normal.jpeg"",""profile_text_color"":""0C3E53"",""followers_count"":345,""protected"":false,""utc_offset"":25200,""profile_background_color"":""BADFCD"",""id"":940736066,""profile_background_image_url"":""http://abs.twimg.com/images/themes/theme12/bg.gif"",""screen_name"":""Jsica_GG""}",,429489636386144256,,"{""http://t.co/dSIiQNTVwz"":""http://dlvr.it/4qWfQy""}",,,,,,,
91,en,False,False,"Crime prevention education, animal control services &amp; house watch are just a few ways our police force makes citizens feel safe &amp; secure.",Sat Feb 01 05:40:22 +0000 2014,False,http://leadify.net,,"{""id"":382165467,""profile_sidebar_fill_color"":""DDEEF6"",""profile_text_color"":""333333"",""followers_count"":506,""location"":""Ridgeland, Mississippi"",""profile_background_color"":""B2DFDA"",""listed_count"":11,""utc_offset"":-21600,""statuses_count"":1538,""description"":""A city of approximately 25,000 located in southern Madison County, just north of the state capital, Jackson, Mississippi. There's more here!"",""friends_count"":499,""profile_link_color"":""45DB3D"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1565435680/twitter_logo_normal.JPG"",""profile_banner_url"":""https://pbs.twimg.com/profile_banners/382165467/1371751075"",""profile_background_image_url"":""http://abs.twimg.com/images/themes/theme13/bg.gif"",""screen_name"":""Ridgeland_MS"",""lang"":""en"",""profile_background_tile"":false,""name"":""City of Ridgeland"",""url"":""http://t.co/EupfT0G0hq"",""created_at"":""Thu Sep 29 16:03:27 +0000 2011"",""time_zone"":""Central Time (US & Canada)"",""protected"":false}",,429489380147740672,,,,,,,,,
92,en,False,False,@Vote4AAP @AamAadmiParty @MSisodia&gt;RSS etc's Bigotry-Irrationality-Misogyny a Way o Life-80% Ppl w/ NO Civic SENSE-Police Partners of Crime&gt;,Sat Feb 01 05:38:35 +0000 2014,False,web,,"{""id"":32981486,""profile_sidebar_fill_color"":""1C1C1C"",""profile_text_color"":""6B6B6B"",""followers_count"":3566,""location"":""Delhi NCR, India + California "",""profile_background_color"":""FFFFFF"",""listed_count"":130,""utc_offset"":19800,""statuses_count"":52149,""description"":""Dreamer…Management–Strategy…Designer…Architect…Interiors—Green+Smart Bldgs–Living–Techs…Nature Lover…Unity+Honest–Productive Governance…Historian…Foodie…Writing"",""friends_count"":3881,""profile_link_color"":""FFB400"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1150083453/sunjayjk.posterous.com_normal.jpg"",""profile_banner_url"":""https://pbs.twimg.com/profile_banners/32981486/1357579985"",""profile_background_image_url"":""http://a0.twimg.com/profile_background_images/108800234/twitter_animal3.br.jpg"",""screen_name"":""SunjayJK"",""lang"":""en"",""profile_background_tile"":false,""favourites_count"":2386,""name"":""Sunjay JK"",""url"":""http://t.co/M2yqESAnyF"",""created_at"":""Sat Apr 18 19:20:12 +0000 2009"",""time_zone"":""New Delhi"",""protected"":false}",,429488933169147904,,,"[{""screen_name"":""Vote4AAP"",""id"":1339772964,""name"":""Vote 4 AAP - झाड़ू ""},{""screen_name"":""AamAadmiParty"",""id"":711694309,""name"":""Aam Aadmi Party""},{""screen_name"":""msisodia"",""id"":30417501,""name"":""Manish Sisodia""}]",,,Vote4AAP,1339772964,,429286389755035648
93,en,False,False,@pataz1 Her DNA was not found mixed all over the crime scene. Also Perugia's police allowed crime scene to be traipsed over multiple times.,Sat Feb 01 05:37:20 +0000 2014,False,http://twitter.com/download/android,,"{""id"":19256064,""profile_sidebar_fill_color"":""EFE5CB"",""profile_text_color"":""6D5B55"",""followers_count"":30,""location"":""Denver, CO"",""profile_background_color"":""457679"",""utc_offset"":-28800,""statuses_count"":532,""description"":""Hair twirler."",""friends_count"":71,""profile_link_color"":""457679"",""profile_image_url"":""https://pbs.twimg.com/profile_images/2890567843/b2dc69c1ac9a67d3008d798e70251cf1_normal.jpeg"",""profile_background_image_url"":""http://a0.twimg.com/profile_background_images/104882238/vintage-romance.jpg"",""name"":""Heather Erickson"",""lang"":""en"",""profile_background_tile"":false,""favourites_count"":88,""screen_name"":""HKateE"",""url"":""http://t.co/S3ASDM4rjB"",""created_at"":""Tue Jan 20 20:41:18 +0000 2009"",""time_zone"":""Pacific Time (US & Canada)"",""protected"":false}",,429488616197193730,,,"[{""screen_name"":""pataz1"",""id"":95328958,""name"":""pat a.""}]",,,pataz1,95328958,,429487406471860224
94,en,False,False,RT @ABCNews24_: Now: Greens Hansen Young says closure of Mt Thomas police station reckless and will increase crime from Ramsay Street to Su…,Sat Feb 01 05:36:44 +0000 2014,False,http://twitter.com/download/android,,"{""id"":1105420999,""profile_sidebar_fill_color"":""DDEEF6"",""profile_text_color"":""333333"",""followers_count"":334,""profile_background_color"":""C0DEED"",""listed_count"":6,""utc_offset"":39600,""statuses_count"":3314,""description"":""Parody, Writer, Thinker, Strategist, International political career wrecker!"",""friends_count"":623,""profile_link_color"":""0084B4"",""profile_image_url"":""https://pbs.twimg.com/profile_images/3132327736/bc7f474dcf1a13572c23383d4a8d9b68_normal.jpeg"",""geo_enabled"":true,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1105420999/1370155643"",""profile_background_image_url"":""http://abs.twimg.com/images/themes/theme1/bg.png"",""screen_name"":""J0HNMcTERNAN"",""lang"":""en"",""profile_background_tile"":false,""favourites_count"":71,""name"":""Comrade John"",""created_at"":""Sun Jan 20 05:06:30 +0000 2013"",""time_zone"":""Canberra"",""protected"":false}",43,429488467572056064,,,"[{""screen_name"":""ABCNews24_"",""id"":2257297416,""name"":""ABC News24""}]","[""auspol""]","\""http://twitter.com/download/iphone\""",,,,
95,en,False,False,2/2 Police will assist with injured animals when they are on a highway or where a crime is suspected,Sat Feb 01 05:35:35 +0000 2014,False,http://www.tweetcaster.com,,"{""id"":980631042,""profile_sidebar_fill_color"":""DDEEF6"",""profile_text_color"":""333333"",""followers_count"":1037,""location"":""Hertfordshire, England, UK"",""profile_background_color"":""C0DEED"",""listed_count"":17,""statuses_count"":2059,""description"":""Herts Police Rural Operational Support Team supporting the Rural Community in respect of Rural, Heritage, Wildlife and Environmental Crime"",""friends_count"":312,""profile_link_color"":""0084B4"",""profile_image_url"":""https://pbs.twimg.com/profile_images/2930811626/546b1de4b47cf352ebe4a5dc3516a494_normal.jpeg"",""profile_background_image_url"":""http://a0.twimg.com/profile_background_images/728949795/be54d924dbae4e6f2fa9037673ee3b8c.jpeg"",""screen_name"":""HertsPolRural"",""lang"":""en"",""profile_background_tile"":false,""favourites_count"":79,""name"":""Herts Police Rural"",""url"":""http://t.co/bMs9G0H5"",""created_at"":""Fri Nov 30 15:08:23 +0000 2012"",""time_zone"":""London"",""protected"":false}",,429488175862808576,,,,,,,,,
